orgs,0
United States Naval Test Pilot School,571
U.S. Air Force Test Pilot School,526
United States Air Force Academy,211
United States Naval Academy,198
Massachusetts Institute of Technology,178
United States Naval Test Pilot School|United States Naval Academy,83
Stanford University,76
Naval Postgraduate School,67
United States Naval Test Pilot School|Naval Postgraduate School,64
United States Air Force Academy|U.S. Air Force Test Pilot School,54
Purdue University,49
U.S. Air Force Test Pilot School|United States Air Force Academy,43
United States Naval Test Pilot School|Naval Postgraduate School|United States Naval Academy,38
Georgia Tech,30
University of Colorado,16
United States Naval Academy|United States Naval Test Pilot School,14
Embry–Riddle Aeronautical University,13
United States Military Academy,12
University of West Florida,8
University of Washington,8
Naval Postgraduate School|United States Naval Academy,8
U.S. Air Force Test Pilot School|United States Air Force Academy|Purdue University,8
Rice University,8
United States Air Force Academy|Purdue University|U.S. Air Force Test Pilot School,7
University of Houston,7
University of Virginia,6
University of Houston–Clear Lake,6
University of Southern California,6
United States Air Force Academy|Purdue University,6
"University of California, Berkeley",5
United States Naval Test Pilot School|United States Military Academy,5
United States Naval Test Pilot School|University of Tennessee,5
Fu Foundation School of Engineering and Applied Science,5
United States Naval Test Pilot School|Georgia Tech,4
University of Florida,4
University of Illinois Urbana–Champaign,4
California Institute of Technology,4
Harvard University,4
Purdue University|U.S. Air Force Test Pilot School,4
Auburn University,3
Cornell University|Cornell University College of Engineering,3
Ohio State University,3
Massachusetts Institute of Technology|U.S. Air Force Test Pilot School,3
George Washington University,3
United States Naval Academy|Florida Institute of Technology,3
U.S. Air Force Test Pilot School|United States Naval Academy,3
Florida Institute of Technology,3
University of Arizona,3
USC Viterbi School of Engineering|University of Southern California,2
Weill Cornell Medicine,2
John F. Kennedy School of Government,2
Texas A&M University,2
Drexel University,2
Cornell University,2
University of Southern California|USC Viterbi School of Engineering,2
University of Texas at Austin,2
Fu Foundation School of Engineering and Applied Science|U.S. Air Force Test Pilot School,2
George Washington University|United States Naval Test Pilot School,2
United States Military Academy|United States Naval Test Pilot School,2
U.S. Air Force Test Pilot School|Purdue University,2
Massachusetts Institute of Technology|United States Naval Academy,2
Texas Tech University,2
Colorado State University,1
California Polytechnic State University,1
McMaster University,1
Missouri University of Science and Technology,1
Princeton University,1
McGill University,1
Georgia Tech|United States Naval Test Pilot School,1
Georgia Tech|United States Military Academy|United States Naval Test Pilot School,1
Georgia Tech|United States Military Academy,1
George Washington University|United States Naval Test Pilot School|United States Naval Academy,1
George Washington University|United States Naval Academy,1
Grossmont High School,1
John F. Kennedy School of Government|United States Naval Academy,1
Florida State University,1
The Basic School|United States Naval Test Pilot School,1
Texas Tech University|U.S. Air Force Test Pilot School,1
Stanford University|U.S. Air Force Test Pilot School,1
Syracuse University,1
United States Naval Test Pilot School|Georgia Tech|United States Military Academy,1
United States Naval Academy|University of Southern California,1
United States Naval Academy|University of West Florida,1
United States Naval Academy|United States Naval Test Pilot School|Naval Postgraduate School,1
United States Air Force Academy|Embry–Riddle Aeronautical University,1
U.S. Air Force Test Pilot School|University of Notre Dame,1
U.S. Air Force Test Pilot School|Fu Foundation School of Engineering and Applied Science,1
U.S. Air Force Test Pilot School|United States Air Force Academy|Fu Foundation School of Engineering and Applied Science,1
United States Army Command and General Staff College,1
U.S. Air Force Test Pilot School|University of Washington,1
United States Air Force Academy|Massachusetts Institute of Technology,1
United States Air Force Academy|Fu Foundation School of Engineering and Applied Science|U.S. Air Force Test Pilot School,1
University of Minnesota,1
University of Houston–Clear Lake|Massachusetts Institute of Technology,1
"University of California, Los Angeles",1
United States Naval Test Pilot School|University of West Florida,1
United States Naval Test Pilot School|University of Southern California|United States Naval Academy|USC Viterbi School of Engineering,1
United States Naval Test Pilot School|University of Southern California|United States Naval Academy,1
United States Naval Test Pilot School|United States Naval Academy|University of Tennessee,1
University of New Hampshire,1
University of Tennessee|United States Naval Test Pilot School,1
University of Tennessee Space Institute,1
University of Southern California|United States Naval Academy|USC Viterbi School of Engineering,1
University of North Carolina at Chapel Hill,1
University of Missouri,1
University of Wisconsin–Madison,1
Webster University|U.S. Air Force Test Pilot School,1
West Orange High School|United States Naval Test Pilot School,1
