,personUri,personLabel,birthYear,gender,countries,continents,occupations,fields
0,http://www.wikidata.org/entity/Q118185981,Anastasia Lenkova,1995,female,,,,
1,http://www.wikidata.org/entity/Q268912,Mary Ellen Weber,1962,female,,,,
2,http://www.wikidata.org/entity/Q56725368,Hazza Al Mansouri,1983,male,,,,
3,http://www.wikidata.org/entity/Q197135,Zhai Zhigang,1966,male,,,,
4,http://www.wikidata.org/entity/Q235580,Claudie Haigneré,1957,female,,,,
5,http://www.wikidata.org/entity/Q3501233,Konstantin Valkov,1971,male,,,,
6,http://www.wikidata.org/entity/Q720160,John M. Fabian,1939,male,,,,
7,http://www.wikidata.org/entity/Q555679,Aleksandr Skvortsov,1966,male,,,,
8,http://www.wikidata.org/entity/Q1371854,Michael R. Clifford,1952,male,,,,
9,http://www.wikidata.org/entity/Q574124,Anthony W. England,1942,male,,,,
10,http://www.wikidata.org/entity/Q14946486,Michael Warren Booen,1957,male,,,,
11,http://www.wikidata.org/entity/Q24176135,Larry Connor,1950,male,,,,
12,http://www.wikidata.org/entity/Q128996430,Chun Wang,1982,male,,,,
13,http://www.wikidata.org/entity/Q2036753,Robert C. Springer,1942,male,,,,
14,http://www.wikidata.org/entity/Q227030,Mark Shuttleworth,1973,male,,,,
15,http://www.wikidata.org/entity/Q466483,Aleksandr Pavlovich Aleksandrov,1943,male,,,,
16,http://www.wikidata.org/entity/Q1866915,L. Blaine Hammond,1952,male,,,,
17,http://www.wikidata.org/entity/Q57059308,Meganne Christian,1987,female,,,,
18,http://www.wikidata.org/entity/Q3391832,Jesús Calleja,1965,male,,,,
19,http://www.wikidata.org/entity/Q536632,Paul J. Weitz,1932,male,,,,
20,http://www.wikidata.org/entity/Q13519676,Nikolai Tikhonov,1982,male,,,,
21,http://www.wikidata.org/entity/Q709634,Valery Korzun,1953,male,,,,
22,http://www.wikidata.org/entity/Q41606,Kathryn P. Hire,1959,female,,,,
23,http://www.wikidata.org/entity/Q30157819,Kayla Barron,1987,female,,,,
24,http://www.wikidata.org/entity/Q41575,Susan J. Helms,1958,female,,,,
25,http://www.wikidata.org/entity/Q106460806,Nora Al Matrooshi,1993,female,,,,
26,http://www.wikidata.org/entity/Q507046,Owen K. Garriott,1930,male,,,,
27,http://www.wikidata.org/entity/Q4831087,Aydyn Aimbetov,1972,male,,,,
28,http://www.wikidata.org/entity/Q214974,Klaus-Dietrich Flade,1952,male,,,,
29,http://www.wikidata.org/entity/Q708489,Yury Onufriyenko,1961,male,,,,
30,http://www.wikidata.org/entity/Q215009,Gerhard Thiele,1953,male,,,,
31,http://www.wikidata.org/entity/Q1338348,Thomas David Jones,1955,male,,,,
32,http://www.wikidata.org/entity/Q362220,Alan G. Poindexter,1961,male,,,,
