,uriPer_x,uriPer_y,orgs,numberOrgs,uriOrgs,periods_x,BeginY_x,EndY_x,BeginY_y,EndY_y,periods_y
501,http://www.wikidata.org/entity/Q1323571,http://www.wikidata.org/entity/Q25011,United States Naval Test Pilot School|University of Southern California|United States Naval Academy|USC Viterbi School of Engineering,4,http://www.wikidata.org/entity/Q1128819|http://www.wikidata.org/entity/Q4614|http://www.wikidata.org/entity/Q559549|http://www.wikidata.org/entity/Q7866378,1941-1960,1969.0,1980.0,1964.0,1975.0,1941-1960
3773,http://www.wikidata.org/entity/Q720194,http://www.wikidata.org/entity/Q995007,United States Naval Academy|United States Naval Test Pilot School|Naval Postgraduate School,3,http://www.wikidata.org/entity/Q559549|http://www.wikidata.org/entity/Q1128819|http://www.wikidata.org/entity/Q1515048,1941-1960,1964.0,1975.0,1964.0,1975.0,1941-1960
3749,http://www.wikidata.org/entity/Q718729,http://www.wikidata.org/entity/Q720194,George Washington University|United States Naval Test Pilot School|United States Naval Academy,3,http://www.wikidata.org/entity/Q432637|http://www.wikidata.org/entity/Q1128819|http://www.wikidata.org/entity/Q559549,1941-1960,1961.0,1972.0,1964.0,1975.0,1941-1960
3793,http://www.wikidata.org/entity/Q725339,http://www.wikidata.org/entity/Q948775,United States Naval Test Pilot School|Naval Postgraduate School|United States Naval Academy,3,http://www.wikidata.org/entity/Q1128819|http://www.wikidata.org/entity/Q1515048|http://www.wikidata.org/entity/Q559549,1941-1960,1976.0,1987.0,1980.0,1991.0,1961-1980
3585,http://www.wikidata.org/entity/Q609639,http://www.wikidata.org/entity/Q658221,United States Air Force Academy|Purdue University|U.S. Air Force Test Pilot School,3,http://www.wikidata.org/entity/Q1331280|http://www.wikidata.org/entity/Q217741|http://www.wikidata.org/entity/Q3428253,1941-1960,1960.0,1971.0,1964.0,1975.0,1941-1960
3586,http://www.wikidata.org/entity/Q609639,http://www.wikidata.org/entity/Q717641,United States Air Force Academy|Purdue University|U.S. Air Force Test Pilot School,3,http://www.wikidata.org/entity/Q1331280|http://www.wikidata.org/entity/Q217741|http://www.wikidata.org/entity/Q3428253,1941-1960,1960.0,1971.0,1962.0,1973.0,1941-1960
3792,http://www.wikidata.org/entity/Q725339,http://www.wikidata.org/entity/Q948673,United States Naval Test Pilot School|Naval Postgraduate School|United States Naval Academy,3,http://www.wikidata.org/entity/Q1128819|http://www.wikidata.org/entity/Q1515048|http://www.wikidata.org/entity/Q559549,1941-1960,1976.0,1987.0,1975.0,1986.0,1941-1960
3564,http://www.wikidata.org/entity/Q561878,http://www.wikidata.org/entity/Q725339,United States Naval Test Pilot School|Naval Postgraduate School|United States Naval Academy,3,http://www.wikidata.org/entity/Q1128819|http://www.wikidata.org/entity/Q1515048|http://www.wikidata.org/entity/Q559549,1941-1960,1975.0,1986.0,1976.0,1987.0,1941-1960
3568,http://www.wikidata.org/entity/Q561878,http://www.wikidata.org/entity/Q948673,United States Naval Test Pilot School|Naval Postgraduate School|United States Naval Academy,3,http://www.wikidata.org/entity/Q1128819|http://www.wikidata.org/entity/Q1515048|http://www.wikidata.org/entity/Q559549,1941-1960,1975.0,1986.0,1975.0,1986.0,1941-1960
3350,http://www.wikidata.org/entity/Q49264,http://www.wikidata.org/entity/Q561878,United States Naval Test Pilot School|Naval Postgraduate School|United States Naval Academy,3,http://www.wikidata.org/entity/Q1128819|http://www.wikidata.org/entity/Q1515048|http://www.wikidata.org/entity/Q559549,1961-1980,1981.0,1992.0,1975.0,1986.0,1941-1960
