uriPer,labelPer,birthYear,relaType,uriOrg,labelOrg,nTypes,typesO,periods
http://www.wikidata.org/entity/Q1018622,Byron K. Lichtenberg,1948,employment,http://www.wikidata.org/entity/Q23548,National Aeronautics and Space Administration,2,space agency | independent agency of the United States government,1941-1960
http://www.wikidata.org/entity/Q1018622,Byron K. Lichtenberg,1948,education,http://www.wikidata.org/entity/Q49114,Brown University,5,research university | private university | Colonial Colleges | academic publisher | private not-for-profit educational institution,1941-1960
http://www.wikidata.org/entity/Q1018622,Byron K. Lichtenberg,1948,education,http://www.wikidata.org/entity/Q49108,Massachusetts Institute of Technology,6,university | Institute of Technology | academic publisher | space grant institution | institute of technology | private not-for-profit educational institution,1941-1960
http://www.wikidata.org/entity/Q10340525,Oleg Kononenko,1938,education,http://www.wikidata.org/entity/Q1719898,Moscow Aviation Institute,3,national research university | publishing company | open-access publisher,1921-1940
http://www.wikidata.org/entity/Q10340525,Oleg Kononenko,1938,employment,http://www.wikidata.org/entity/Q282717,Gromov Flight Research Institute,5,facility | research institute | publishing company | research center | aerodrome,1921-1940
http://www.wikidata.org/entity/Q10340525,Oleg Kononenko,1938,education,http://www.wikidata.org/entity/Q55149460,Fedotov Test Pilot School,2,educational institution | educational organization,1921-1940
http://www.wikidata.org/entity/Q104859,Michael Collins,1930,education,http://www.wikidata.org/entity/Q9219,United States Military Academy,4,military academy | Direct Reporting Unit | military museum | public educational institution of the United States,1921-1940
http://www.wikidata.org/entity/Q104859,Michael Collins,1930,education,http://www.wikidata.org/entity/Q49126,Harvard Business School,2,business school | organization,1921-1940
http://www.wikidata.org/entity/Q104859,Michael Collins,1930,employment,http://www.wikidata.org/entity/Q23548,National Aeronautics and Space Administration,2,space agency | independent agency of the United States government,1921-1940
http://www.wikidata.org/entity/Q104859,Michael Collins,1930,education,http://www.wikidata.org/entity/Q7586750,St. Albans School,3,university-preparatory school | educational institution | school,1921-1940
