,orgType_group,effectif
0,independent agency of the united states government | space agency,314
1,high school,214
2,military school,101
3,flight school,97
4,university,62
5,census-designated place in the united states | naval academy | observatory | public educational institution of the united states,62
6,expedition to the international space station,60
7,land-grant university | public educational institution of the united states | public research university,58
8,high school | public school,56
9,open-access publisher | private not-for-profit educational institution | private university | research university,54
10,public educational institution of the united states | university,52
11,public educational institution of the united states | public research university,51
12,academic publisher | institute of technology | institute of technology | private not-for-profit educational institution | space grant institution | university,50
13,military academy,48
14,air force academy | field operating agency,44
15,military university | open-access publisher | public educational institution of the united states | staff college | university campus,43
16,private not-for-profit educational institution | university,36
17,legislative term,31
18,national research university | open-access publisher | publishing company,28
19,direct reporting unit | military academy | military museum | public educational institution of the united states,28
20,public educational institution of the united states | public university,26
21,intergovernmental organization | international organization | space agency,26
22,educational institution | military academy | military unit,24
23,public university,24
24,private not-for-profit educational institution | private university | research university,23
25,school,20
26,military school | military unit,19
27,medical school,18
28,group of humans,17
29,institute of technology | public educational institution of the united states | public research university,17
30,organization,17
31,group of humans | recruitment,16
32,group of humans | organization,16
33,institute of technology | national research university | open-access publisher,15
34,business | enterprise | public company,15
35,private not-for-profit educational institution | private university,14
36,open-access publisher | private not-for-profit educational institution | university,13
37,engineering college,12
38,public educational institution of the united states | public university | research university,12
39,business,12
40,colonial colleges | private not-for-profit educational institution | private university | research university,11
41,space agency,11
42,academic institution | higher education institution,11
43,musical group,11
44,land-grant university | public educational institution of the united states | public research university | united nations depository library,11
45,military academy | military university,10
46,flight school | military school | military unit,10
47,business school | organization,9
48,federal agency | space agency | state-owned enterprise,9
49,academy of sciences,9
50,organization | public educational institution of the united states | public research university | university | university campus,9
51,land-grant university | open-access publisher | public educational institution of the united states | public university,9
52,land-grant university | public educational institution of the united states | university,8
53,business school,8
54,international organization | scientific organization,8
55,liberal arts college in the united states | private not-for-profit educational institution,8
56,liberal arts college | private not-for-profit educational institution,8
57,open-access publisher | public university,8
58,academic publisher | colonial colleges | private not-for-profit educational institution | private university | research university,7
59,medical school | university,7
60,high school | school building,7
61,air force,7
62,land-grant university | private not-for-profit educational institution | private university | research university | sun grant institution,7
63,institute of technology | national research university,7
64,land-grant university | open-access publisher | public educational institution of the united states | public research university | public university,7
65,staff college,7
66,faculty,7
67,academic publisher | honor society | learned society | organization,7
68,research institute,7
69,university-preparatory school,6
70,public educational institution of the united states | public research university | university,6
71,private not-for-profit educational institution | private university | research university | workplace,6
72,collegiate university | public research university | university in ontario,6
73,squadron,6
74,educational institution,6
75,educational organization,6
76,land-grant university | neighborhood | public educational institution of the united states | public university | research university | sun grant institution,6
77,open-access publisher | production company | public research university,6
78,open-access publisher | public research university | university in quebec,6
79,secondary school,6
80,institute of technology | private not-for-profit educational institution,6
81,international non-governmental organization,6
82,university in france,5
83,open-access publisher | public research university | university in ontario,5
84,faculty | organization | private not-for-profit educational institution | university,5
85,fraternity,5
86,educational institution | educational organization,5
87,engineering college | faculty,5
88,arboretum | open-access publisher | private not-for-profit educational institution | private university,5
89,open-access publisher | private not-for-profit educational institution | research institute | university,5
90,land-grant university | open-access publisher | public educational institution of the united states | public research university,5
91,community college | public educational institution of the united states,5
92,land-grant university | public educational institution of the united states | public research university | united states senior military college | university,5
93,open-access publisher | public university | university,5
94,open-access publisher | university,5
95,air force | united states federal agency,5
96,academic publisher | international organization | nonprofit organization | open-access publisher,5
97,staff college | university,5
98,land-grant university | open-access publisher | production company | public educational institution of the united states | public research university,5
99,military academy | university in ontario,4
100,private not-for-profit educational institution,4
101,private not-for-profit educational institution | research university,4
102,university in ontario,4
103,academic publisher | learned society | nonprofit organization,4
104,college of the university of cambridge | university building,4
105,high school | secondary school,4
106,grande école | military school,4
107,nasa facility | research center | research institute | space center,4
108,government agency,4
109,organization | public university,4
110,naval academy | staff college | university campus,4
111,open-access publisher | public educational institution of the united states | public research university | publishing company,4
112,public educational institution of the united states,3
113,private school | public policy school,3
114,public research university,3
115,public educational institution of the united states | public university | university | university building,3
116,501(c)(3) organization | group of structures or buildings | private not-for-profit educational institution | private university | research university,3
117,boarding school,3
118,aerospace manufacturer | business | launch service provider | organization,3
119,organization | public research university,3
120,land-grant university | public educational institution of the united states | public research university | sun grant institution,3
121,land-grant university | public educational institution of the united states | public research university | publishing company,3
122,business | enterprise,3
123,learned society | open-access publisher | publishing company | scientific society,3
124,business | public company,3
125,land-grant university | public educational institution of the united states | united states senior military college | university,3
126,business | defense contractor | enterprise | organization | public company,3
127,local internet registry | public university | university of excellence,3
128,medical facility | medical school | private not-for-profit educational institution,3
129,organization | philatelic organization | umbrella organization,3
130,astronaut corps,3
131,bicameral legislature,3
132,open-access publisher | public educational institution of the united states | public research university,3
133,open-access publisher | organization | public university,3
134,navy,3
135,national research university,3
136,gymnasium in germany,3
137,college,3
138,hospital,3
139,higher education institution directly under ministry of education of the people’s republic of china | public university | university | vice-ministerial level university,3
140,coast guard academy | military academy | military school | public educational institution of the united states,3
141,census-designated place in the united states | land-grant university | open-access publisher | public educational institution of the united states | university,3
142,institute of technology | local internet registry | public research university | university of excellence,3
143,hospital | medical school | public educational institution of the united states | research institute,3
144,canadian federal department or agency | space agency,3
145,census-designated place in the united states | military infantry school | military training center,3
146,colonial colleges | land-grant university | public research university | sea grant institution,3
147,engineering college | grande école,3
148,educational organization | public research university,3
149,educational institution | flight school,3
150,academic publisher | colonial colleges | private not-for-profit educational institution | private university | production company | research university,3
151,academic publisher | catholic university | open-access publisher | private not-for-profit educational institution | private university,3
152,academic publisher | catholic university | educational institution | organization,2
153,public university | university,2
154,swedish government agency | university,2
155,academic publisher | professional society,2
156,academic publisher | private university,2
157,academic publisher | private not-for-profit educational institution | university,2
158,educational institution | military unit | military university | open-access publisher,2
159,duma | elected legislative house | fictional government body | lower house,2
160,academic institution,2
161,public educational institution of the united states | university campus,2
162,private university,2
163,organization | university,2
164,organization | research institute | space agency,2
165,aerodrome | facility | publishing company | research center | research institute,2
166,academy | civil servant training institution | organization | professional school,2
167,open-access publisher | public research university | university | university in british columbia,2
168,open-access publisher | public educational institution of the united states | university,2
169,autonomous university | open-access publisher | organization | research university,2
170,open-access publisher | public educational institution of the united states | public university,2
