orgLabel,n
2022 European Space Agency Astronaut group,16
First group of Soviet cosmonauts,14
Max Q,11
NASA Astronaut Group 23,10
Académie de l'air et de l'espace,9
National Academy of Engineering,8
Phi Beta Kappa Society,7
International Astronomical Union,7
International Academy of Astronautics,6
7th State Duma of the Russian Federation,6
American Association for the Advancement of Science,5
NASA Astronaut Group 22,5
American Academy of Arts and Sciences,4
8th State Duma of the Russian Federation,4
3rd State Duma of the Russian Federation,4
5th State Duma of the Russian Federation,4
6th State Duma of the Russian Federation,3
American Physical Society,3
National Aeronautics and Space Administration,3
2nd State Duma of the Russian Federation,3
1st State Duma of the Russian Federation,3
4th State Duma of the Russian Federation,3
European Astronaut Corps,3
All-Union Society of Philatelists,3
Society of Experimental Test Pilots,2
American Institute of Aeronautics and Astronautics,2
The Fantastic Four,2
Future Foundation,2
American Astronomical Society,2
Justice League,2
Union of Philatelists of Russia,2
Association Aéronautique et Astronautique de France,2
Boy Scouts of America,1
Kappa Kappa Psi,1
Phi Delta Theta,1
Purdue All-American Marching Band,1
Academy of the Kingdom of  for Royaume,1
American Nuclear Society,1
Tau Beta Pi,1
Alpha Kappa Alpha,1
World Peace Council,1
Central Committee of the Communist Party of the Soviet Union,1
United States President's Council of Advisors on Science and Technology,1
Koninklijke Vlaamse Academie van België voor Wetenschappen en Kunsten,1
Leibniz Society of Sciences,1
fourth Civic Chamber of the Russian Federation,1
Tula Oblast Duma,1
German Academy of Sciences Leopoldina,1
German Academy of Science and Engineering,1
Avengers,1
West Coast Avengers,1
The New Avengers,1
Guardians of the Galaxy,1
Thunderiders,1
Unlimited Class Wrestling Federation,1
European Physical Society,1
Katholische Österreichische Studentenverbindung Austria-Wien,1
Morlocks,1
Gene Nation,1
Crime Syndicate of America,1
Manhunters,1
Sinestro Corps,1
Superman Revenge Squad,1
American Geophysical Union,1
NASA Astronaut Group 4,1
Evil Warriors,1
Moscow City Duma,1
The Funnies,1
United States Navy Medical Corps,1
Mensa International,1
American Society of Mechanical Engineers,1
Roscosmos Cosmonaut Corps,1
173rd Fighter Wing,1
Space Launch Delta 45,1
90th Fighter Squadron,1
129th Rescue Squadron,1
413th Flight Test Squadron,1
Strike Fighter Squadron 151,1
Strike Fighter Squadron 34,1
Air Test and Evaluation Squadron 31,1
Strike Fighter Squadron 136,1
Strike Fighter Squadron 14,1
Strike Fighter Squadron 81,1
American Association of Physicists in Medicine,1
The Explorers Club,1
Union of Polish Youth,1
Q16589753,1
4th Verkhovna Rada,1
second Civic Chamber of the Russian Federation,1
Royal Academy of Engineering of Spain,1
Initiative committee for the promotion of Rumen Radev and Iliana Yotova in the 2021 presidential elections,1
Delta Chi,1
Deutsche Physikalische Gesellschaft,1
Académie des sciences d'outre-mer,1
"Royal Academy of Science, Letters and Fine Arts of Belgium",1
French Academy of Technologies,1
Royal Society of Chemistry,1
Daughters of the American Revolution,1
National Academy of Sciences,1
Royal Society of Canada,1
U.S.-Japan Caucus,1
NASA Astronaut Group 3,1
American Astronautical Society,1
Royal Swedish Academy of Engineering Sciences,1
Royal Swedish Academy of War Sciences,1
Peace Corps,1
Justice League Dark,1
Artists' Union of the USSR,1
Russian Academy of Sciences,1
Alpha Phi Alpha,1
Institute of Electrical and Electronics Engineers,1
Uncanny Avengers,1
Secret Avengers,1
Fantastic Force,1
Fantastic Four Incorporated,1
Board of Governors of Carleton University,1
Academia Europaea,1
Committee of 100,1
Kappa Alpha Psi,1
