countryLabel,n
United States,480
Russia,152
Soviet Union,110
People's Republic of China,29
Japan,18
Canada,17
Germany,17
United Kingdom,15
France,13
Italy,12
Ukraine,8
Belgium,7
India,7
Sweden,7
Poland,6
Spain,6
Saudi Arabia,6
Australia,6
Kazakhstan,4
Mexico,4
United Arab Emirates,4
Bulgaria,3
German Democratic Republic,3
Hungary,3
Vietnam,3
Austria,3
Turkey,3
Cuba,2
Syria,2
Romania,2
South Korea,2
Israel,2
South Africa,2
Czech Republic,2
Iran,2
Mongolia,2
Switzerland,2
Czechoslovakia,2
Kingdom of the Netherlands,2
Malaysia,2
Slovakia,2
Ukrainian Soviet Socialist Republic,1
Costa Rica,1
Turkmenistan,1
United Arab Republic,1
First Syrian Republic,1
Byelorussian Soviet Socialist Republic,1
Socialist Republic of Romania,1
Kingdom of Denmark,1
Nazi Germany,1
Brazil,1
Themyscira,1
Russian Empire,1
Democratic Republic of Afghanistan,1
England,1
Mongolian People's Republic,1
Peru,1
Afghanistan,1
Argentina,1
Krypton,1
Indonesia,1
Thailand,1
Russian Soviet Federative Socialist Republic,1
La Nébuleuse d'Andromède,1
New Zealand,1
Luxembourg,1
Egypt,1
Norway,1
Belarus,1
Colombia,1
Malta,1
